"origem","estado_origem","destino","estado_destino","aliquota"
RJ,Rio de Janeiro,RN,Rio Grande do Norte,7.0
RJ,Rio de Janeiro,RS,Rio Grande do Sul,12.0
RJ,Rio de Janeiro,RO,Rondônia,7.0
RJ,Rio de Janeiro,RR,Roraima,7.0
RJ,Rio de Janeiro,SC,Santa Catarina,12.0
RJ,Rio de Janeiro,SP,São Paulo,12.0
RJ,Rio de Janeiro,SE,Sergipe,7.0
RJ,Rio de Janeiro,TO,Tocantins,7.0
RO,Rondônia,AC,Acre,12.0
RO,Rondônia,AL,Alagoas,12.0
RO,Rondônia,AM,Amazonas,12.0
RO,Rondônia,AP,Amapá,12.0
RO,Rondônia,BA,Bahia,12.0
RO,Rondônia,CE,Ceará,12.0
RO,Rondônia,DF,Distrito Federal,12.0
RO,Rondônia,ES,Espírito Santo,12.0
RO,Rondônia,GO,Goiás,12.0
RO,Rondônia,MA,Maranhão,12.0
RO,Rondônia,MT,Mato Grosso,12.0
RO,Rondônia,MS,Mato Grosso do Sul,12.0
RO,Rondônia,MG,Minas Gerais,12.0
RO,Rondônia,PA,Pará,12.0
RO,Rondônia,PB,Paraíba,12.0
RO,Rondônia,PR,Paraná,12.0
RO,Rondônia,PE,Pernambuco,12.0
RO,Rondônia,PI,Piauí,12.0
RO,Rondônia,RN,Rio Grande do Norte,12.0
RO,Rondônia,RS,Rio Grande do Sul,12.0
RO,Rondônia,RJ,Rio de Janeiro,12.0
RO,Rondônia,RR,Roraima,12.0
RO,Rondônia,SC,Santa Catarina,12.0
RO,Rondônia,SP,São Paulo,12.0
RO,Rondônia,SE,Sergipe,12.0
RO,Rondônia,TO,Tocantins,12.0
RR,Roraima,AC,Acre,12.0
RR,Roraima,AL,Alagoas,12.0
RR,Roraima,AM,Amazonas,12.0
RR,Roraima,AP,Amapá,12.0
RR,Roraima,BA,Bahia,12.0
RR,Roraima,CE,Ceará,12.0
RR,Roraima,DF,Distrito Federal,12.0
RR,Roraima,ES,Espírito Santo,12.0
RR,Roraima,GO,Goiás,12.0
RR,Roraima,MA,Maranhão,12.0
RR,Roraima,MT,Mato Grosso,12.0
RR,Roraima,MS,Mato Grosso do Sul,12.0
RR,Roraima,MG,Minas Gerais,12.0
RR,Roraima,PA,Pará,12.0
